Model,Dataset,Horizon,MSE,MAE,RMSE,R²
Autoformer,NVIDIA,3,0.0011408244026824832,0.02526126615703106,0.033776093274354935,-0.01697099208831787
Autoformer,NVIDIA,5,0.0011469967430457473,0.025410864502191544,0.03386734053492546,-0.015868306159973145
Autoformer,NVIDIA,10,0.0011708087986335158,0.025738045573234558,0.03421708196401596,-0.020646095275878906
Autoformer,NVIDIA,22,0.0011992166982963681,0.025938289240002632,0.034629710018634796,-0.016409754753112793
Autoformer,NVIDIA,50,0.0012001310242339969,0.026252716779708862,0.03464290872216225,-0.008520245552062988
Autoformer,NVIDIA,100,0.0012996223522350192,0.0275521669536829,0.03605027496814728,-0.00948178768157959
Autoformer,APPLE,3,0.00020185259927529842,0.010253838263452053,0.01420748420059681,-0.009552001953125
Autoformer,APPLE,5,0.00020312986453063786,0.01026515755802393,0.014252363704144955,-0.011302828788757324
Autoformer,APPLE,10,0.00020767757087014616,0.010369696654379368,0.014411022886633873,-0.02573680877685547
Autoformer,APPLE,22,0.00021331568132154644,0.010486758314073086,0.014605330303311348,-0.028005123138427734
Autoformer,APPLE,50,0.00022734566300641745,0.010877016931772232,0.01507798582315445,-0.02465641498565674
Autoformer,APPLE,100,0.00024629756808280945,0.011310148984193802,0.015693871304392815,-0.04313957691192627
Autoformer,NASDAQ,3,0.00013761621084995568,0.008526433259248734,0.011730993166565895,-0.01107490062713623
Autoformer,NASDAQ,5,0.00013998738722875714,0.00859509315341711,0.011831626296043396,-0.023277878761291504
Autoformer,NASDAQ,10,0.00014151899085845798,0.008648729883134365,0.01189617533236742,-0.02234339714050293
Autoformer,NASDAQ,22,0.00014363547961693257,0.00869136955589056,0.011984801851212978,-0.026514172554016113
Autoformer,NASDAQ,50,0.00014797058247495443,0.00870724767446518,0.012164316140115261,-0.02157425880432129
Autoformer,NASDAQ,100,0.00015605593216605484,0.008722483180463314,0.012492234818637371,-0.02889072895050049
Autoformer,ABSA,3,0.0004496102628763765,0.0161319300532341,0.021204015240073204,0.012625336647033691
Autoformer,ABSA,5,0.00045802516979165375,0.01631116308271885,0.021401522681117058,-6.079673767089844
Autoformer,ABSA,10,0.00046365297748707235,0.01639004983007908,0.021532602608203888,-0.004282236099243164
Autoformer,ABSA,22,0.0004709883942268789,0.016539130359888077,0.021702267229557037,-0.005265474319458008
Autoformer,ABSA,50,0.0004924027598462999,0.016992047429084778,0.022190149873495102,-0.012154102325439453
Autoformer,ABSA,100,0.0005207785870879889,0.01743066869676113,0.022820573300123215,-0.00919485092163086
Autoformer,SASOL,3,0.0022293718066066504,0.03516839072108269,0.047216225415468216,-0.011969208717346191
Autoformer,SASOL,5,0.0022311913780868053,0.03523603454232216,0.04723548889160156,-0.005312919616699219
Autoformer,SASOL,10,0.0022425202187150717,0.03514242172241211,0.04735525697469711,-0.010280370712280273
Autoformer,SASOL,22,0.0022675301879644394,0.035104043781757355,0.04761859029531479,-0.010428190231323242
Autoformer,SASOL,50,0.002066132379695773,0.03380599990487099,0.0454547293484211,-0.008478164672851562
