Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,16.11,16.52,15.85,16.33,88300
1/4/2006 16:00:00,16.32,17.2,16.31,16.85,84700
1/5/2006 16:00:00,16.86,17,16.63,16.67,42300
1/6/2006 16:00:00,16.67,17.08,16.67,16.67,14400
1/9/2006 16:00:00,16.67,16.86,16.35,16.56,80700
1/10/2006 16:00:00,16.48,16.9,16.25,16.83,33800
1/11/2006 16:00:00,16.83,17.04,16.25,16.86,117600
1/12/2006 16:00:00,16.74,16.89,16.3,16.41,47700
1/13/2006 16:00:00,16.41,16.91,16.41,16.91,15700
1/17/2006 16:00:00,16.76,16.76,16.05,16.38,46500
1/18/2006 16:00:00,16.26,16.54,16.23,16.42,25600
1/19/2006 16:00:00,16.42,16.66,16.2,16.58,58800
1/20/2006 16:00:00,16.72,16.72,16.3,16.5,72300
1/23/2006 16:00:00,16.4,16.94,16,16.77,58000
1/24/2006 16:00:00,16.77,17.49,16.73,17.37,55700
1/25/2006 16:00:00,17.38,17.9,17.23,17.6,91800
1/26/2006 16:00:00,17.7,17.72,17.35,17.69,42600
1/27/2006 16:00:00,17.65,17.86,17.3,17.77,56900
1/30/2006 16:00:00,17.82,17.89,17.6,17.8,28600
1/31/2006 16:00:00,17.8,18.13,17.6,18,55000
2/1/2006 16:00:00,17.9,18.05,17.68,18,104200
2/2/2006 16:00:00,17.81,18.07,17.75,17.88,68500
2/3/2006 16:00:00,17.73,18.23,17.65,18,46700
2/6/2006 16:00:00,17.88,18.12,17.65,18.01,109700
2/7/2006 16:00:00,17.97,18.22,17.82,18.12,57700
2/8/2006 16:00:00,18.12,18.24,18.03,18.09,43200
2/9/2006 16:00:00,18.12,18.61,18.12,18.44,55100
2/10/2006 16:00:00,18.5,18.55,17.98,18.28,77500
2/13/2006 16:00:00,18.18,18.3,18.04,18.17,52400
2/14/2006 16:00:00,18.25,18.4,18.08,18.29,114000
2/15/2006 16:00:00,18.45,18.75,18.21,18.44,118300
2/16/2006 16:00:00,18.2,19.27,18.19,18.98,238700
2/17/2006 16:00:00,18.03,20.03,18.03,19.7,248500
2/21/2006 16:00:00,19.6,19.8,19.25,19.8,133100
2/22/2006 16:00:00,19.79,19.89,19.32,19.64,81700
2/23/2006 16:00:00,19.6,20,19.5,19.94,96800
2/24/2006 16:00:00,19.9,20.25,19.49,19.85,121700
2/27/2006 16:00:00,19.85,19.88,19.39,19.55,141600
2/28/2006 16:00:00,19.44,19.61,19,19.15,120500
3/1/2006 16:00:00,19.15,19.56,18.9,19.47,83400
3/2/2006 16:00:00,19.46,19.77,19.32,19.77,78600
3/3/2006 16:00:00,19.76,19.94,19.4,19.42,74800
3/6/2006 16:00:00,18.47,19.82,18.47,19.6,68600
3/7/2006 16:00:00,19.6,19.71,19.15,19.3,82500
3/8/2006 16:00:00,19.2,19.68,19.2,19.6,75100
3/9/2006 16:00:00,19.7,19.7,19.4,19.48,66500
3/10/2006 16:00:00,19.52,19.9,19.46,19.8,61400
3/13/2006 16:00:00,19.89,19.9,19.42,19.46,73400
