Date,Open,High,Low,Close,Volume
4/15/2021 16:00:00,28.25,31.69,26.5,31,14524184
4/16/2021 16:00:00,30.25,33.94,28.72,30,2057757
4/19/2021 16:00:00,30.71,32.62,29.74,32.54,1614048
4/20/2021 16:00:00,32.31,34.14,30.91,32.58,1587127
4/21/2021 16:00:00,32.58,33.56,30.21,32.5,3798227
4/22/2021 16:00:00,31.79,33.1,30.41,30.75,1015844
4/23/2021 16:00:00,30.57,31.72,30.55,31.4,473168
4/26/2021 16:00:00,31.84,32.74,31.66,32.13,276323
4/27/2021 16:00:00,31.99,32.68,31.83,32.15,292653
4/28/2021 16:00:00,32.25,32.47,30.55,32.06,455294
4/29/2021 16:00:00,32.06,32.11,29.95,31.24,795679
4/30/2021 16:00:00,30.72,32.4,30.15,31.53,254491
5/3/2021 16:00:00,32.29,32.8,30.72,32.48,560459
5/4/2021 16:00:00,32.27,33.54,31.49,32.27,739538
5/5/2021 16:00:00,32.5,33.45,32.25,32.82,506757
5/6/2021 16:00:00,32.55,32.85,31.19,32.07,624398
5/7/2021 16:00:00,31.83,33.85,31.2,33.49,222747
5/10/2021 16:00:00,33.85,34.47,32.98,33.48,670300
5/11/2021 16:00:00,33.07,34.16,31.51,31.83,226891
5/12/2021 16:00:00,31.24,31.97,30.33,31.11,694852
5/13/2021 16:00:00,31.14,31.77,28.73,29.14,1255575
5/14/2021 16:00:00,29.59,30.82,29.26,29.96,251928
5/17/2021 16:00:00,29.6,30.82,29.52,30.11,250274
5/18/2021 16:00:00,30.13,32.16,29.94,31.19,235211
5/19/2021 16:00:00,31.07,31.35,30.26,30.66,175113
5/20/2021 16:00:00,30.67,33.75,30.45,31.78,454785
5/21/2021 16:00:00,32.06,34.59,31.82,34.03,474512
5/24/2021 16:00:00,34.08,34.59,33.38,33.93,330079
5/25/2021 16:00:00,33.83,35.17,33.45,34.56,485633
5/26/2021 16:00:00,34.73,34.82,33.28,33.85,574808
5/27/2021 16:00:00,34.01,36.99,33.86,36.75,370418
5/28/2021 16:00:00,37.07,38.88,35.6,35.94,293955
6/1/2021 16:00:00,36.39,39.16,36.09,38.4,446984
6/2/2021 16:00:00,38.65,38.81,37.26,37.67,349584
6/3/2021 16:00:00,37.56,37.82,36.54,36.65,329202
6/4/2021 16:00:00,36.62,37,35.16,35.2,447232
6/7/2021 16:00:00,35.58,36.05,34.38,34.73,1866311
6/8/2021 16:00:00,34.9,36.81,34.28,36.5,2197981
6/9/2021 16:00:00,37.01,37.98,36.59,36.99,1216231
6/10/2021 16:00:00,37.75,38,36.9,37,695637
6/11/2021 16:00:00,37,37.34,35.5,36.8,727832
6/14/2021 16:00:00,37.36,38.66,36.95,38.25,1209388
6/15/2021 16:00:00,38.53,39.93,37.6,39.52,886927
6/16/2021 16:00:00,39.52,42.06,39.3,41.42,1250760
6/17/2021 16:00:00,40.57,43.66,39.72,42.68,1205452
6/18/2021 16:00:00,42.47,44.83,42.17,43.25,3784372
6/21/2021 16:00:00,43.23,44.33,40.78,42.1,1045503
6/22/2021 16:00:00,41.55,43.28,41.55,41.98,874492
6/23/2021 16:00:00,41.98,42.55,41.45,41.78,822632
6/24/2021 16:00:00,41.84,42.98,40.67,40.83,1007358
6/25/2021 16:00:00,40.83,41.07,38.84,39.4,4177204
6/28/2021 16:00:00,39.66,40.44,38.98,39.92,451987
6/29/2021 16:00:00,39.72,40.5,38.52,39.19,393867
6/30/2021 16:00:00,39.12,40.75,38.61,40.57,600326
