Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,15,17.1,14.9,16.9,9167865
1/4/2006 16:00:00,16.4,18,16,17.9,8373240
1/5/2006 16:00:00,16.6,17.5,16.3,17.5,9242381
1/6/2006 16:00:00,17.6,18.6,17,18.1,9452809
1/9/2006 16:00:00,18.6,19.3,16.4,16.8,11148822
1/10/2006 16:00:00,17.3,17.6,16.8,17.5,5044409
1/11/2006 16:00:00,17.7,18.1,17.1,17.4,2345003
1/12/2006 16:00:00,17.2,18,17.1,17.6,2985067
1/13/2006 16:00:00,17.8,18.9,17.7,18.9,4496803
1/17/2006 16:00:00,19,19.51,18.9,19.4,6196830
1/18/2006 16:00:00,18.6,19.2,17.1,17.2,5518866
1/19/2006 16:00:00,19,19.2,18.3,18.9,4679567
1/20/2006 16:00:00,19.3,20.2,18.1,18.3,7894675
1/23/2006 16:00:00,19.2,19.5,18.4,18.8,4658994
1/24/2006 16:00:00,18.8,19.1,18.1,18.5,2961755
1/25/2006 16:00:00,19.5,19.7,18.6,18.9,4204113
1/26/2006 16:00:00,18.9,19,18.5,18.8,4493439
1/27/2006 16:00:00,19,19.3,18.5,18.7,3456695
1/30/2006 16:00:00,18.5,18.8,17.5,17.9,5763488
1/31/2006 16:00:00,16.8,16.8,16.3,16.3,3200
2/1/2006 16:00:00,16.5,16.8,16.1,16.7,5081871
2/2/2006 16:00:00,17.45,17.7,16.5,16.8,5041291
2/3/2006 16:00:00,16.7,17.2,16.1,16.3,3569817
2/6/2006 16:00:00,16.5,16.6,16.1,16.3,3893540
2/7/2006 16:00:00,16.05,16.2,14.7,14.8,5163648
2/8/2006 16:00:00,14.6,16.5,14.4,15.5,4561596
2/9/2006 16:00:00,16.15,16.3,15.9,15.9,2659331
2/10/2006 16:00:00,16.4,16.4,15.4,15.9,3606753
2/13/2006 16:00:00,15.6,15.7,14.9,15.1,2763766
2/14/2006 16:00:00,15.4,15.5,14.3,14.5,4792049
2/15/2006 16:00:00,14.7,15.1,14,14.2,3833942
2/16/2006 16:00:00,13.9,15.01,13.8,14.6,2599661
2/17/2006 16:00:00,14.9,15.1,14.7,15,1906942
2/21/2006 16:00:00,15.3,15.4,15,15.3,2312357
2/22/2006 16:00:00,15.1,15.4,14.5,14.7,2445716
2/23/2006 16:00:00,15,15,13.7,13.8,4661265
2/24/2006 16:00:00,14,15.1,14,14.9,2647807
2/27/2006 16:00:00,14.7,14.7,14.1,14.2,1618501
2/28/2006 16:00:00,14.3,14.4,13.9,14.1,3604953
3/1/2006 16:00:00,14.1,14.5,14.1,14.5,1829134
3/2/2006 16:00:00,14.4,15.8,14.35,15.5,5364564
3/3/2006 16:00:00,15.1,16.3,15,15.8,6055655
3/6/2006 16:00:00,15.8,16.3,14.5,14.7,5691472
3/7/2006 16:00:00,14.4,14.7,14.1,14.5,2974119
3/8/2006 16:00:00,13.6,14.3,13.4,14,4640967
3/9/2006 16:00:00,13.95,14.3,13.7,13.7,2557931
3/10/2006 16:00:00,13.4,13.8,13.3,13.7,2300249
3/13/2006 16:00:00,13.8,14.3,13.3,13.7,3023383
3/14/2006 16:00:00,13.9,14.1,13.5,14,2004133
3/15/2006 16:00:00,14.3,14.5,13.99,14.2,1800079
3/16/2006 16:00:00,14.4,14.4,13.8,13.9,1723965
3/17/2006 16:00:00,13.95,14,13.59,13.7,1881543
3/20/2006 16:00:00,14,14.05,13.5,13.7,1909883
3/21/2006 16:00:00,13.55,13.6,12.6,12.6,3246651
3/22/2006 16:00:00,12.7,12.9,12.5,12.7,3019446
3/23/2006 16:00:00,12.65,13.4,12.4,13.3,2887521
3/24/2006 16:00:00,13.3,13.9,13.2,13.9,3250770
3/27/2006 16:00:00,13.85,14.5,13.7,14.4,3410737
3/28/2006 16:00:00,14.2,14.4,13.6,13.6,2330475
3/29/2006 16:00:00,13.65,14.4,13.5,14.3,3574063
3/30/2006 16:00:00,14.8,16.2,14.59,16.2,10455224
3/31/2006 16:00:00,15.55,15.8,15.1,15.5,3710279
4/3/2006 16:00:00,15.35,15.8,14.3,14.6,4475005
4/4/2006 16:00:00,14.7,15.5,14.4,15.5,3767940
4/5/2006 16:00:00,15.4,15.5,15.1,15.2,2879843
4/6/2006 16:00:00,15.8,16.3,15.6,15.9,5674255
4/7/2006 16:00:00,15.7,15.7,15,15.2,3073243
4/10/2006 16:00:00,15.6,15.9,14.4,14.7,4909550
4/11/2006 16:00:00,15.5,15.5,14.3,14.6,3806386
4/12/2006 16:00:00,14.8,15.2,14.6,14.8,2118185
4/13/2006 16:00:00,14.8,15,14.5,14.8,1478135
4/17/2006 16:00:00,15.3,16,15,15.8,4774618
4/18/2006 16:00:00,15.9,16.3,15.7,16,4460636
4/19/2006 16:00:00,16.05,17.5,15.8,17,8739555
4/20/2006 16:00:00,17.2,17.3,15.3,15.6,7078771
4/21/2006 16:00:00,15.9,16.4,15.7,15.9,3521539
4/24/2006 16:00:00,15.7,15.9,15,15.1,4146649
4/25/2006 16:00:00,15.5,15.8,14.8,15,4159256
4/26/2006 16:00:00,15.05,15.7,14.9,15.5,3499923
4/27/2006 16:00:00,15.05,15.7,14.9,15,5571325
4/28/2006 16:00:00,15.55,16.3,15.2,15.8,6422156
5/1/2006 16:00:00,16.35,16.5,15.9,15.9,5281620
5/2/2006 16:00:00,16,16.11,15.2,15.4,8967076
5/3/2006 16:00:00,15.6,15.9,15,15.6,5901265
5/4/2006 16:00:00,15.3,15.4,14.9,15.2,5946675
