Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,11.92,12.21,11.61,12.09,1129797
1/4/2006 16:00:00,12.13,12.56,12.09,12.31,1317185
1/5/2006 16:00:00,12.42,12.6,12.25,12.32,888888
1/6/2006 16:00:00,12.45,13.48,12.38,13.28,3134237
1/9/2006 16:00:00,12.94,13.56,12.8,13.14,1571480
1/10/2006 16:00:00,13.13,13.13,12.75,12.76,969783
1/11/2006 16:00:00,12.75,13.2,12.67,12.96,960398
1/12/2006 16:00:00,12.89,13.13,12.7,12.77,945259
1/13/2006 16:00:00,12.75,13.1,12.4,13,1468196
1/17/2006 16:00:00,13.04,13.36,12.71,12.75,940593
1/18/2006 16:00:00,11.82,12.58,11.73,12.3,1938179
1/19/2006 16:00:00,12.37,12.88,12.34,12.83,770014
1/20/2006 16:00:00,12.89,13.17,12.6,12.61,1062115
1/23/2006 16:00:00,12.61,12.72,12.17,12.48,749711
1/24/2006 16:00:00,12.45,12.6,12.2,12.6,807494
1/25/2006 16:00:00,12.67,13,12.5,12.92,884959
1/26/2006 16:00:00,13.08,14.49,13.07,14.4,3502227
1/27/2006 16:00:00,14.75,14.83,13.97,14.52,1248505
1/30/2006 16:00:00,15.33,15.58,15,15.57,3772779
1/31/2006 16:00:00,14.12,14.25,13.58,13.97,4986160
2/1/2006 16:00:00,13.48,13.65,13.08,13.29,3280223
2/2/2006 16:00:00,13.13,13.58,13.13,13.26,1435612
2/3/2006 16:00:00,13.39,13.62,13.17,13.34,1347253
2/6/2006 16:00:00,13.33,14.25,13.2,14.14,1974567
2/7/2006 16:00:00,14.33,14.42,13.57,13.6,1405303
2/8/2006 16:00:00,13.5,13.88,13.5,13.64,803069
2/9/2006 16:00:00,13.54,14,13.36,13.42,1428150
2/10/2006 16:00:00,13.39,13.48,13.18,13.4,6031773
2/13/2006 16:00:00,13.4,13.42,12.92,13.13,2528847
2/14/2006 16:00:00,13.16,13.25,13.12,13.13,2513543
2/15/2006 16:00:00,13.13,13.3,13.13,13.19,733908
2/16/2006 16:00:00,13.2,13.4,13.17,13.32,1312030
2/17/2006 16:00:00,13.3,13.33,13.14,13.27,1046496
2/21/2006 16:00:00,13.35,13.45,13.13,13.25,1001205
2/22/2006 16:00:00,13.2,13.48,13.13,13.27,1412174
2/23/2006 16:00:00,13.3,13.35,13.2,13.27,836514
2/24/2006 16:00:00,13.23,13.93,13.22,13.68,1703966
2/27/2006 16:00:00,13.78,13.98,13.52,13.9,1413032
2/28/2006 16:00:00,13.8,14.13,13.42,13.5,1843845
3/1/2006 16:00:00,13.53,13.7,13.37,13.5,1318288
3/2/2006 16:00:00,13.43,13.47,13.2,13.33,1160954
3/3/2006 16:00:00,13.23,13.82,13.21,13.56,1392653
3/6/2006 16:00:00,13.67,13.78,13.16,13.32,860292
3/7/2006 16:00:00,13.3,13.3,12.6,12.76,1260978
3/8/2006 16:00:00,12.69,12.91,12.38,12.85,1531457
3/9/2006 16:00:00,13,13.5,12.96,13.17,1866835
3/10/2006 16:00:00,13.21,14.92,13.05,14.52,7987391
3/13/2006 16:00:00,14.29,14.54,14.01,14.43,2968951
3/14/2006 16:00:00,14.45,14.69,14.17,14.42,1898555
3/15/2006 16:00:00,14.5,15.25,14.25,14.92,4454856
3/16/2006 16:00:00,15.08,15.33,14.68,14.75,1949713
3/17/2006 16:00:00,14.84,14.85,14.01,14.59,2503243
3/20/2006 16:00:00,14.73,14.9,14.19,14.69,1538215
3/21/2006 16:00:00,14.58,15.19,14.37,14.45,2552677
3/22/2006 16:00:00,14.47,14.47,13.89,13.99,1515948
3/23/2006 16:00:00,13.99,14.07,13.46,13.73,1521598
3/24/2006 16:00:00,13.88,13.93,13.42,13.52,1243777
3/27/2006 16:00:00,13.69,14.05,13.61,13.85,1751989
3/28/2006 16:00:00,13.85,14.16,13.77,13.83,1005742
3/29/2006 16:00:00,13.78,14.09,13.74,13.95,1504546
3/30/2006 16:00:00,13.87,13.96,13.32,13.37,2374402
3/31/2006 16:00:00,13.36,13.5,12.97,13.35,2023959
4/3/2006 16:00:00,13.46,13.5,13.13,13.17,1161091
4/4/2006 16:00:00,13.21,13.39,13.12,13.21,714619
4/5/2006 16:00:00,13.15,13.59,13.13,13.36,1161376
4/6/2006 16:00:00,13.37,13.82,13.26,13.69,1149418
4/7/2006 16:00:00,13.86,13.97,13.46,13.72,1217199
4/10/2006 16:00:00,13.67,13.94,13.57,13.79,1205747
4/11/2006 16:00:00,13.83,15,13.25,13.62,3097774
4/12/2006 16:00:00,13.72,14.22,13.37,14.07,2021860
4/13/2006 16:00:00,14.1,14.28,13.78,14.08,926781
4/17/2006 16:00:00,14.16,14.61,14,14.34,1399648
4/18/2006 16:00:00,14.34,14.88,14.15,14.59,1626492
4/19/2006 16:00:00,14.72,14.8,14.2,14.6,1353615
4/20/2006 16:00:00,14.67,14.83,14.04,14.08,1828371
4/21/2006 16:00:00,14.16,14.16,13.5,13.73,2849225
4/24/2006 16:00:00,13.53,13.53,13.07,13.23,2301328
4/25/2006 16:00:00,13.3,13.3,12.67,12.92,1912465
4/26/2006 16:00:00,12.87,13.15,12.86,12.94,1515745
4/27/2006 16:00:00,12.79,12.83,12.4,12.45,2165352
4/28/2006 16:00:00,12.45,12.63,12.38,12.47,10241040
5/1/2006 16:00:00,12.51,12.55,11.55,11.76,5178268
5/2/2006 16:00:00,11.83,12.05,11.7,11.95,3027256
5/3/2006 16:00:00,12.25,12.3,11.7,11.87,2474739
5/4/2006 16:00:00,11.89,12.03,11.71,11.84,1742894
5/5/2006 16:00:00,11.92,12.39,11.84,12.25,3449864
5/8/2006 16:00:00,12.45,12.99,12.38,12.89,5008565
5/9/2006 16:00:00,12.92,12.97,12.7,12.78,2192294
5/10/2006 16:00:00,12.93,13.05,12.64,12.73,2746436
5/11/2006 16:00:00,12.94,13.08,12.11,12.26,2113957
5/12/2006 16:00:00,12.17,12.29,11.96,12.02,1942230
5/15/2006 16:00:00,12.08,12.19,11.73,11.79,1862883
5/16/2006 16:00:00,11.84,12.39,11.84,12.32,2511479
5/17/2006 16:00:00,12.12,12.13,11.52,11.56,2595894
5/18/2006 16:00:00,11.67,11.76,10.37,10.66,4852082
5/19/2006 16:00:00,10.66,11.17,10.61,11.02,3116447
5/22/2006 16:00:00,10.9,10.9,10.03,10.47,3916598
5/23/2006 16:00:00,10.66,10.81,9.93,10.07,3433231
5/24/2006 16:00:00,10.14,10.2,9.11,9.58,4273170
5/25/2006 16:00:00,9.69,10.12,9.56,10.09,2756953
5/26/2006 16:00:00,10.09,10.75,10.06,10.64,3184806
5/30/2006 16:00:00,10.96,10.99,10.17,10.21,3413718
5/31/2006 16:00:00,10.22,10.38,9.96,10.15,3176826
6/1/2006 16:00:00,10.2,10.23,9.88,10.04,2508393
6/2/2006 16:00:00,10.23,10.66,9.92,10.01,2207603
6/5/2006 16:00:00,10.07,10.45,9.63,9.7,2802209
6/6/2006 16:00:00,9.71,9.87,9.26,9.37,2417522
6/7/2006 16:00:00,9.36,9.62,9.02,9.1,2911289
6/8/2006 16:00:00,8.92,9.16,8.59,8.9,2755364
6/9/2006 16:00:00,8.99,9.33,8.93,9.14,2729953
6/12/2006 16:00:00,9.14,9.31,8.43,8.43,2194151
6/13/2006 16:00:00,8.38,8.73,7.97,8.09,3809444
6/14/2006 16:00:00,8.18,8.63,8.18,8.38,3039361
6/15/2006 16:00:00,8.58,9.12,8.58,9.05,2585684
6/16/2006 16:00:00,9.06,9.2,8.69,8.94,2521869
6/19/2006 16:00:00,8.99,9.04,8.51,8.61,1715316
6/20/2006 16:00:00,8.65,8.98,8.5,8.83,1527452
6/21/2006 16:00:00,8.89,9.49,8.7,9.21,3356127
6/22/2006 16:00:00,9.32,9.33,9.06,9.2,1551638
6/23/2006 16:00:00,9.21,9.21,8.98,9.04,2028761
6/26/2006 16:00:00,9.1,9.42,9.02,9.39,1745351
6/27/2006 16:00:00,9.37,9.6,8.82,8.88,2751051
6/28/2006 16:00:00,8.94,9.08,8.48,8.72,2892621
6/29/2006 16:00:00,9,9.46,8.91,9.42,2979943
6/30/2006 16:00:00,9.53,9.97,9.05,9.97,6208228
7/3/2006 16:00:00,9.85,9.91,9.48,9.83,1549393
7/5/2006 16:00:00,9.69,10,9.49,9.92,2675808
7/6/2006 16:00:00,9.97,9.99,9.61,9.71,1839897
7/7/2006 16:00:00,9.65,9.66,9.34,9.38,1652725
7/10/2006 16:00:00,9.43,9.62,9.38,9.45,954502
7/11/2006 16:00:00,9.43,9.65,9.24,9.6,3118634
7/12/2006 16:00:00,9.64,9.83,9.38,9.42,2400636
7/13/2006 16:00:00,9.3,9.33,8.87,8.91,2173960
7/14/2006 16:00:00,8.88,8.98,8.59,8.75,2120181
7/17/2006 16:00:00,8.65,8.94,8.65,8.75,1094447
7/18/2006 16:00:00,8.72,8.89,8.44,8.72,1119840
7/19/2006 16:00:00,8.86,9.32,8.75,9.2,2272398
7/20/2006 16:00:00,9.67,9.83,9.17,9.21,3328032
7/21/2006 16:00:00,9.22,9.33,8.88,9,1542598
7/24/2006 16:00:00,9.02,9.48,9.02,9.3,1484276
7/25/2006 16:00:00,9.27,9.39,9.05,9.31,1594735
7/26/2006 16:00:00,9.29,9.31,9.07,9.23,1232040
7/27/2006 16:00:00,9.28,9.48,9.23,9.36,1745475
7/28/2006 16:00:00,9.38,9.67,9.31,9.63,1847113
7/31/2006 16:00:00,9.5,9.51,9.1,9.22,1971939
8/1/2006 16:00:00,9.14,9.14,8.67,8.74,3179644
8/2/2006 16:00:00,8.85,8.92,8.66,8.8,2603672
8/3/2006 16:00:00,8.62,8.86,8.6,8.81,1736859
8/4/2006 16:00:00,9.22,9.23,8.89,8.97,1745187
8/7/2006 16:00:00,8.92,9.05,8.82,9,971426
8/8/2006 16:00:00,9.05,9.08,8.81,8.82,1363661
8/9/2006 16:00:00,8.86,9.21,8.86,8.93,1599855
8/10/2006 16:00:00,8.97,9.12,8.75,9,1317846
8/11/2006 16:00:00,8.97,9.06,8.83,8.9,797137
8/14/2006 16:00:00,9,9.16,8.94,9.04,1430519
8/15/2006 16:00:00,9.19,9.63,9.11,9.55,2572550
8/16/2006 16:00:00,9.67,9.79,9.35,9.75,2429878
8/17/2006 16:00:00,9.74,10.16,9.67,9.96,3092467
8/18/2006 16:00:00,10.01,10.02,9.61,9.82,1481378
8/21/2006 16:00:00,9.75,9.75,9.42,9.42,1086440
8/22/2006 16:00:00,9.42,9.56,9.39,9.42,1073605
8/23/2006 16:00:00,9.69,9.69,9.29,9.3,1163194
8/24/2006 16:00:00,9.31,9.38,9.07,9.12,1455364
8/25/2006 16:00:00,9.1,9.13,8.89,8.99,2256168
8/28/2006 16:00:00,8.95,9.15,8.9,8.95,1588954
8/29/2006 16:00:00,8.92,9.04,8.83,9,1403138
8/30/2006 16:00:00,9.16,9.25,9.04,9.16,1564760
8/31/2006 16:00:00,9.17,9.62,9.12,9.5,2664914
9/1/2006 16:00:00,9.45,9.67,9.33,9.44,1147693
9/5/2006 16:00:00,9.33,9.39,9.17,9.33,1655167
9/6/2006 16:00:00,9.32,9.44,9.27,9.35,2297576
9/7/2006 16:00:00,9.26,9.67,9.16,9.6,3390718
9/8/2006 16:00:00,9.75,9.91,9.62,9.73,2587871
9/11/2006 16:00:00,9.69,9.72,9.38,9.42,1573479
9/12/2006 16:00:00,9.37,9.63,9.33,9.53,1785355
9/13/2006 16:00:00,9.51,9.85,9.44,9.8,2703770
9/14/2006 16:00:00,9.8,9.83,9.61,9.65,1442586
9/15/2006 16:00:00,9.69,9.93,9.66,9.78,2241655
9/18/2006 16:00:00,9.77,10.36,9.77,10.28,3523531
9/19/2006 16:00:00,10.38,10.63,10.12,10.5,4381050
9/20/2006 16:00:00,10.66,10.83,10.29,10.36,2749095
9/21/2006 16:00:00,10.46,10.63,10.19,10.27,1909280
9/22/2006 16:00:00,10.27,10.48,10.05,10.42,1609955
9/25/2006 16:00:00,10.52,10.58,10.14,10.22,1825409
9/26/2006 16:00:00,10.3,10.47,10.2,10.44,1738711
9/27/2006 16:00:00,10.4,10.43,10.19,10.24,1927353
9/28/2006 16:00:00,10.24,10.41,10.03,10.17,1481113
9/29/2006 16:00:00,10.18,10.33,10.04,10.08,1927110
10/2/2006 16:00:00,10.09,10.11,9.63,9.77,2296007
