Date,Open,High,Low,Close,Volume
1/29/2008 16:00:00,68.6,68.65,62,64.95,6580552
1/30/2008 16:00:00,66.15,66.25,61.3,65.2,1608938
1/31/2008 16:00:00,63.7,63.75,61.5,62.55,298805
2/1/2008 16:00:00,61.1,66.5,60.6,64.5,585197
2/4/2008 16:00:00,65.05,70.95,64,68.25,1535178
2/5/2008 16:00:00,66.7,68.5,65,67.3,540528
2/6/2008 16:00:00,64.95,67.25,62.5,63.15,925383
2/7/2008 16:00:00,60.75,61.75,56.65,58.25,1283270
2/8/2008 16:00:00,57.95,58.5,55,55.5,581017
2/11/2008 16:00:00,54.6,58.5,52.75,56.75,728884
2/12/2008 16:00:00,57,59.25,54.45,55.6,630593
2/13/2008 16:00:00,59.9,66.25,57.55,64.75,1615324
2/14/2008 16:00:00,66.7,68.4,63.05,64.25,1520903
2/15/2008 16:00:00,61.45,65.7,59.5,60.15,779298
2/19/2008 16:00:00,63.15,63.15,57.75,59,670200
2/20/2008 16:00:00,56.55,57.5,52.75,54.75,1086481
2/21/2008 16:00:00,55.25,56,50,50.05,853862
2/22/2008 16:00:00,56.15,59,52.5,56.5,1220096
2/25/2008 16:00:00,58.05,59,55.1,57.95,327098
2/26/2008 16:00:00,56.8,58,55.45,56.1,222000
2/27/2008 16:00:00,55.95,56,53.75,54.55,233725
2/28/2008 16:00:00,54.05,54.7,52.4,53.25,118280
2/29/2008 16:00:00,52,56.4,52,53.15,123455
3/3/2008 16:00:00,51,51.6,48.75,49.2,614251
3/4/2008 16:00:00,50.3,51,48.8,49.6,234707
3/5/2008 16:00:00,50.7,52.3,50,50.55,199685
3/6/2008 16:00:00,52.3,52.3,49.55,49.55,155850
3/7/2008 16:00:00,49.5,51,45.1,45.75,269847
3/10/2008 16:00:00,47.7,47.7,39.25,39.9,564108
3/11/2008 16:00:00,46.4,47,40.8,43.4,485812
3/12/2008 16:00:00,45.75,46.5,42.85,46.4,543450
3/13/2008 16:00:00,44.55,48,42.75,47.05,425368
3/14/2008 16:00:00,49.65,49.65,43.75,47.4,546885
3/17/2008 16:00:00,44.4,47.2,41,41,408251
3/18/2008 16:00:00,43,54.25,43,52.8,579319
3/19/2008 16:00:00,48.9,51.5,41.3,41.75,979696
3/20/2008 16:00:00,42,44.75,36.8,38,824122
3/24/2008 16:00:00,39.9,42,37.5,40.65,466458
3/25/2008 16:00:00,43.75,48.75,43.25,47.25,800015
3/26/2008 16:00:00,47.7,49.75,45.65,49.65,511521
3/27/2008 16:00:00,50.85,61.45,50.6,61.05,2926418
3/28/2008 16:00:00,59.25,63.95,52.55,54.15,3692249
3/31/2008 16:00:00,55.1,57.9,54.85,56.8,646653
4/1/2008 16:00:00,56.95,57.1,55.26,55.85,550270
4/2/2008 16:00:00,54.9,61.75,54,61.2,1538806
4/3/2008 16:00:00,59.1,62.15,58,59.35,994158
4/4/2008 16:00:00,58.6,66.05,58.45,64.55,1519904
4/7/2008 16:00:00,66.3,69.1,58.75,60.1,1589413
4/8/2008 16:00:00,59.3,62.5,59.25,60.35,585457
4/9/2008 16:00:00,61.35,63,60.5,62.5,520202
4/10/2008 16:00:00,61.25,63,59.25,61.7,443904
4/11/2008 16:00:00,60.05,64.75,59.25,63.45,689408
4/14/2008 16:00:00,62.25,66.5,61.25,65.25,1038547
4/15/2008 16:00:00,70,75.1,68.95,74.8,2800765
4/16/2008 16:00:00,75.85,78.95,75.1,77.35,2012325
4/17/2008 16:00:00,80,84.95,71.75,75.4,3344093
4/18/2008 16:00:00,77.95,83,75.5,82.65,1987508
4/21/2008 16:00:00,84.95,94.25,84.45,94.2,4034209
4/22/2008 16:00:00,91,92.7,85.55,91,2837229
4/23/2008 16:00:00,90.25,92.5,87.5,87.85,1842214
4/24/2008 16:00:00,86.4,90,81.5,86.35,2173626
4/25/2008 16:00:00,87.55,92.5,85.05,91.7,1460248
4/28/2008 16:00:00,91.8,92.7,86.75,87.9,1968291
4/29/2008 16:00:00,85.75,87.9,82.1,82.5,1771606
4/30/2008 16:00:00,84.75,87.35,82.55,83.75,2273458
5/1/2008 16:00:00,85.15,85.5,76.8,78.1,2026739
5/2/2008 16:00:00,81.25,82.5,79.25,79.75,980191
5/5/2008 16:00:00,81.85,87.65,79.5,86.4,1630448
5/6/2008 16:00:00,86.4,92.8,86.4,91.25,2659669
5/7/2008 16:00:00,90.45,91.4,85.05,85.25,1762954
5/8/2008 16:00:00,87.3,89.25,85.4,87.15,1058598
5/9/2008 16:00:00,88.1,97.5,87.15,97.45,2943198
5/12/2008 16:00:00,95.6,97.5,92.65,94.15,3322431
5/13/2008 16:00:00,96.25,109.5,96.25,108.35,7216014
5/14/2008 16:00:00,117.4,122.5,108.85,111.5,12217322
5/15/2008 16:00:00,116.35,134.25,113.45,131.05,7984173
5/16/2008 16:00:00,128.85,133.7,124.55,130.2,5777287
5/19/2008 16:00:00,132.35,147.4,127.15,139,8709571
5/20/2008 16:00:00,134,139,132,135.4,3832672
5/21/2008 16:00:00,137.9,143.15,125.8,127.5,4236028
5/22/2008 16:00:00,129.3,130.85,107.5,114.45,6334140
